,2020-03-08 00:00:00,2020-03-08 00:00:00,2020-03-08 00:00:00,2020-03-08 00:00:00,2020-03-08 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-13 00:00:00,2020-03-13 00:00:00,2020-03-13 00:00:00,2020-03-13 00:00:00,2020-03-13 00:00:00,2020-03-14 00:00:00,2020-03-14 00:00:00,2020-03-14 00:00:00,2020-03-14 00:00:00,2020-03-14 00:00:00,2020-03-15 00:00:00,2020-03-15 00:00:00,2020-03-15 00:00:00,2020-03-15 00:00:00,2020-03-15 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-21 00:00:00,2020-03-21 00:00:00,2020-03-21 00:00:00,2020-03-21 00:00:00,2020-03-21 00:00:00,2020-03-22 00:00:00,2020-03-22 00:00:00,2020-03-22 00:00:00,2020-03-22 00:00:00,2020-03-22 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,2020-03-29 00:00:00,2020-03-29 00:00:00,2020-03-29 00:00:00,2020-03-29 00:00:00,2020-03-29 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-04-02 00:00:00,2020-04-02 00:00:00,2020-04-02 00:00:00,2020-04-02 00:00:00,2020-04-02 00:00:00,2020-04-03 00:00:00,2020-04-03 00:00:00,2020-04-03 00:00:00,2020-04-03 00:00:00,2020-04-03 00:00:00,2020-04-04 00:00:00,2020-04-04 00:00:00,2020-04-04 00:00:00,2020-04-04 00:00:00,2020-04-04 00:00:00,2020-04-05 00:00:00,2020-04-05 00:00:00,2020-04-05 00:00:00,2020-04-05 00:00:00,2020-04-05 00:00:00,2020-04-06 00:00:00,2020-04-06 00:00:00,2020-04-06 00:00:00,2020-04-06 00:00:00,2020-04-06 00:00:00,2020-04-07 00:00:00,2020-04-07 00:00:00,2020-04-07 00:00:00,2020-04-07 00:00:00,2020-04-07 00:00:00,2020-04-08 00:00:00,2020-04-08 00:00:00,2020-04-08 00:00:00,2020-04-08 00:00:00,2020-04-08 00:00:00,2020-04-09 00:00:00,2020-04-09 00:00:00,2020-04-09 00:00:00,2020-04-09 00:00:00,2020-04-09 00:00:00,2020-04-10 00:00:00,2020-04-10 00:00:00,2020-04-10 00:00:00,2020-04-10 00:00:00,2020-04-10 00:00:00,2020-04-11 00:00:00,2020-04-11 00:00:00,2020-04-11 00:00:00,2020-04-11 00:00:00,2020-04-11 00:00:00
Bangladesh,3,0,0,3,1171,3,0,0,3,2292,3,0,0,3,3034,3,0,0,3,3714,3,0,0,3,4259,3,0,0,3,4811,3,0,0,3,5447,5,0,0,5,6073,8,0,2,6,6788,10,0,3,7,7505,14,1,3,10,8337,17,1,3,13,9198,20,1,3,16,9918,25,2,3,20,10802,27,2,3,22,11702,33,3,5,25,12801,39,4,5,30,13828,39,5,7,27,14868,44,5,11,28,16061,48,5,11,32,17277,48,5,15,28,18353,48,5,15,28,19575,49,5,19,25,21000,51,5,25,21,22255,54,6,25,23,23464,56,6,25,25,24781,61,6,26,29,26017,70,8,30,32,27372,88,9,33,46,28838,123,12,33,78,30264,164,17,33,114,31707,218,20,33,165,33202,330,21,33,276,34775,424,27,33,364,36448,482,30,36,416,37996
Bulgaria,4,0,0,4,321,4,0,0,4,561,4,0,0,4,809,7,1,0,6,1078,7,1,0,6,1294,23,1,0,22,1497,41,2,0,39,1712,51,2,0,49,1929,52,2,0,50,2179,67,2,0,65,2388,92,2,0,90,2609,94,3,0,91,2822,127,3,0,124,3031,163,3,3,157,3216,187,3,3,181,3440,201,3,3,195,3660,218,3,3,212,3852,242,3,4,235,4071,264,3,8,253,4350,293,3,9,281,4556,331,7,11,313,4743,346,8,14,324,4959,359,8,17,334,5199,399,8,17,374,5446,422,10,20,392,5660,457,10,25,422,5852,485,14,30,441,6040,503,17,34,452,6239,531,20,37,474,6444,549,22,39,488,6661,577,23,42,512,6876,593,24,42,527,7102,618,24,48,546,7281,635,25,54,556,7520,661,28,62,571,7737
Bahrain,85,0,4,81,382,95,0,14,81,800,110,0,22,88,1292,195,0,35,160,1809,195,0,35,160,2196,189,0,44,145,2522,210,0,44,166,2911,214,0,60,154,3328,214,1,77,136,3710,228,1,81,146,4118,256,1,88,167,4636,278,1,100,177,5050,285,1,100,184,5497,305,1,125,179,5919,332,2,149,181,6387,377,2,164,211,6857,392,3,177,212,7288,419,4,177,238,7705,458,4,204,250,8128,466,4,227,235,8605,476,4,265,207,9089,499,4,272,223,9522,515,4,279,232,9939,567,4,295,268,10420,569,4,337,228,10777,643,4,381,258,11154,672,4,382,286,11518,688,4,423,261,11974,700,4,431,265,12368,756,4,458,294,12865,811,5,458,348,13353,823,5,477,341,13861,887,5,519,363,14328,925,6,539,380,14775,1040,6,555,479,15271
Bahamas,0,0,0,0,305,0,0,0,0,559,0,0,0,0,889,0,0,0,0,1232,0,0,0,0,1769,0,0,0,0,2163,0,0,0,0,2497,0,0,0,0,2829,1,0,0,1,3179,1,0,0,1,3559,1,0,0,1,3942,3,0,0,3,4281,3,0,0,3,4624,4,0,0,4,4912,4,0,0,4,5181,4,0,0,4,5548,5,0,1,4,5916,5,0,1,4,6222,9,0,1,8,6524,10,0,1,9,6836,10,0,1,9,7225,11,0,1,10,7550,14,0,1,13,7888,14,0,1,13,8189,21,1,1,19,8504,24,1,1,22,8823,24,1,1,22,9205,28,4,0,24,9583,28,4,0,24,9928,29,5,4,20,10259,33,6,5,22,10527,40,7,5,28,10875,41,8,5,28,11279,42,8,5,29,11597,46,8,5,33,11846
Bosnia and Herzegovina,3,0,0,3,37,3,0,0,3,95,5,0,0,5,153,7,0,0,7,226,11,0,0,11,294,13,0,0,13,358,18,0,0,18,414,24,0,0,24,506,25,0,0,25,563,26,0,2,24,645,38,0,2,36,721,63,0,2,61,789,89,0,2,87,858,93,1,2,90,919,126,1,2,123,985,132,1,2,129,1048,166,3,2,161,1110,176,3,2,171,1168,191,3,2,186,1243,237,4,5,228,1320,258,5,5,248,1383,323,6,8,309,1426,368,10,17,341,1491,420,13,17,390,1566,459,13,19,427,1633,533,16,20,497,1699,579,17,27,535,1764,624,21,30,573,1808,654,23,30,601,1873,674,29,47,598,1927,764,33,68,663,2012,804,34,79,691,2091,858,35,101,722,2171,901,36,129,736,2230,946,37,139,770,2303
Saint Barthélemy,3,0,0,3,3,1,0,0,1,7,1,0,0,1,8,1,0,0,1,8,1,0,0,1,10,1,0,0,1,14,1,0,0,1,18,1,0,0,1,23,1,0,0,1,28,1,0,0,1,34,1,0,0,1,43,1,0,0,1,44,1,0,0,1,51,1,0,0,1,54,1,0,0,1,59,1,0,0,1,65,1,0,0,1,65,1,0,0,1,70,1,0,0,1,74,1,0,0,1,79,1,0,0,1,85,1,0,0,1,91,1,0,0,1,95,1,0,0,1,98,1,0,0,1,99,1,0,0,1,103,1,0,0,1,106,1,0,0,1,107,1,0,0,1,112,1,0,0,1,117,1,0,0,1,121,1,0,0,1,124,1,0,0,1,130,1,0,0,1,132,1,0,0,1,135
Belarus,6,0,0,6,80,6,0,1,5,165,9,0,3,6,274,9,0,3,6,378,12,0,3,9,466,27,0,3,24,547,27,0,3,24,638,27,0,3,24,730,36,0,3,33,804,36,0,3,33,882,51,0,5,46,958,51,0,5,46,1025,69,0,5,64,1086,76,0,15,61,1162,76,0,15,61,1252,81,0,22,59,1342,81,0,22,59,1442,86,0,29,57,1531,86,0,29,57,1596,94,0,32,62,1692,94,0,32,62,1787,94,0,32,62,1870,152,0,32,120,1963,152,1,47,104,2101,163,2,53,108,2197,304,4,53,247,2302,351,4,53,294,2396,440,5,53,382,2499,562,8,52,502,2580,700,13,53,634,2688,861,13,54,794,2792,1066,13,77,976,2872,1486,16,139,1331,2975,1981,19,169,1793,3086,2226,23,172,2031,3180
Belize,0,0,0,0,68,0,0,0,0,133,0,0,0,0,248,0,0,0,0,357,0,0,0,0,463,0,0,0,0,534,0,0,0,0,637,0,0,0,0,761,0,0,0,0,848,0,0,0,0,939,0,0,0,0,1068,0,0,0,0,1172,0,0,0,0,1260,0,0,0,0,1363,0,0,0,0,1453,1,0,0,1,1567,1,0,0,1,1659,2,0,0,2,1767,2,0,0,2,1878,2,0,0,2,1995,2,0,0,2,2084,2,0,0,2,2178,3,0,0,3,2286,3,0,0,3,2387,3,0,0,3,2476,3,0,0,3,2623,4,0,0,4,2721,4,0,0,4,2817,5,0,0,5,2917,7,1,0,6,3019,7,1,0,6,3123,8,1,0,7,3244,9,1,0,8,3331,10,2,0,8,3415,13,2,0,11,3589
Bermuda,0,0,0,0,184,0,0,0,0,417,0,0,0,0,653,0,0,0,0,867,0,0,0,0,1096,0,0,0,0,1301,0,0,0,0,1517,0,0,0,0,1731,0,0,0,0,1963,0,0,0,0,2226,0,0,0,0,2497,0,0,0,0,2782,0,0,0,0,2970,0,0,0,0,3157,0,0,0,0,3352,0,0,0,0,3577,0,0,0,0,3768,0,0,0,0,3959,0,0,0,0,4170,0,0,0,0,4394,0,0,0,0,4631,0,0,0,0,4851,0,0,0,0,5047,0,0,0,0,5243,0,0,0,0,5468,0,0,0,0,5660,0,0,0,0,5819,0,0,0,0,6006,0,0,0,0,6189,0,0,0,0,6394,0,0,0,0,6545,0,0,0,0,6752,0,0,0,0,6973,0,0,0,0,7114,0,0,0,0,7326
"Bolivia, Plurinational State of",0,0,0,0,855,0,0,0,0,1751,0,0,0,0,2662,2,0,0,2,5929,2,0,0,2,7918,3,0,0,3,9532,10,0,0,10,11075,10,0,0,10,12622,11,0,0,11,14398,11,0,0,11,16069,12,0,0,12,17849,12,0,0,12,19489,15,0,0,15,21309,19,0,0,19,23132,24,0,0,24,24821,27,0,0,27,26501,29,0,0,29,28226,32,0,0,32,30336,43,0,0,43,32295,61,0,0,61,34486,74,0,0,74,36628,81,1,0,80,38969,97,4,0,93,41365,107,6,0,101,43372,115,7,1,107,45413,123,8,1,114,47490,132,9,1,122,49577,139,10,1,128,51596,157,10,2,145,53498,183,11,2,170,55572,194,14,2,178,57657,210,15,2,193,59591,264,18,2,244,61351,268,19,2,247,63315,275,20,2,253,65571
Brazil,20,0,0,20,12254,25,0,0,25,24787,31,0,0,31,38807,38,0,0,38,57276,52,0,0,52,96062,151,0,0,151,142615,151,0,0,151,174153,162,0,0,162,209083,200,0,1,199,255567,321,1,2,318,312738,372,3,2,367,365471,621,6,2,613,416870,793,11,2,780,464876,1021,15,2,1004,510635,1593,25,2,1566,551484,1924,34,2,1888,594860,2247,46,2,2199,631601,2554,59,2,2493,681771,2985,77,6,2902,722183,3417,92,6,3319,766578,3904,111,6,3787,808237,4256,136,6,4114,843178,4579,159,120,4300,882134,5717,201,127,5389,920746,6836,240,127,6469,956069,8044,324,127,7593,988870,9056,359,127,8570,1024225,10360,445,127,9788,1060895,11130,486,127,10517,1096968,12161,564,127,11470,1136223,14034,686,127,13221,1171214,16170,819,127,15224,1207204,18092,950,173,16969,1245626,19638,1057,173,18408,1284922,20727,1124,173,19430,1327625
Barbados,0,0,0,0,191,0,0,0,0,378,0,0,0,0,663,0,0,0,0,1012,0,0,0,0,1599,0,0,0,0,2055,0,0,0,0,2390,0,0,0,0,2689,0,0,0,0,3047,2,0,0,2,3480,2,0,0,2,3783,5,0,0,5,4117,5,0,0,5,4397,6,0,0,6,4772,14,0,0,14,5076,17,0,0,17,5411,18,0,0,18,5675,18,0,0,18,5950,18,0,0,18,6140,24,0,0,24,6479,26,0,0,26,6760,33,0,0,33,7062,33,0,0,33,7291,34,0,0,34,7567,34,0,0,34,7899,46,0,0,46,8171,51,0,0,51,8446,52,0,0,52,8615,56,1,6,49,8888,60,2,6,52,9214,63,3,6,54,9481,63,3,8,52,9767,66,3,11,52,10052,67,4,11,52,10334,68,4,11,53,10671
Brunei Darussalam,0,0,0,0,141,1,0,0,1,343,1,0,0,1,646,11,0,0,11,937,11,0,0,11,1159,37,0,0,37,1436,40,0,0,40,1762,50,0,0,50,2013,54,0,0,54,2246,56,0,0,56,2523,68,0,0,68,2780,75,0,0,75,3066,78,0,1,77,3285,83,0,2,81,3572,88,0,2,86,3792,91,0,2,89,3949,104,0,2,102,4107,109,0,2,107,4236,114,0,5,109,4372,115,0,11,104,4504,120,1,25,94,4701,126,1,34,91,4853,127,1,38,88,4982,129,1,45,83,5073,131,1,52,78,5195,133,1,56,76,5294,134,1,65,68,5362,135,1,66,68,5443,135,1,73,61,5558,135,1,82,52,5701,135,1,85,49,5805,135,1,91,43,5884,135,1,92,42,5977,136,1,99,36,6055,136,1,104,31,6103
Bhutan,1,0,0,1,83,1,0,0,1,150,1,0,0,1,201,1,0,0,1,253,1,0,0,1,286,1,0,0,1,313,1,0,0,1,331,1,0,0,1,362,1,0,0,1,394,1,0,0,1,421,1,0,0,1,449,1,0,0,1,476,2,0,0,2,509,2,0,0,2,551,2,0,0,2,600,2,0,0,2,636,2,0,0,2,670,2,0,0,2,715,2,0,0,2,750,3,0,0,3,798,3,0,0,3,838,4,0,0,4,877,4,0,0,4,908,4,0,0,4,945,4,0,0,4,988,5,0,1,4,1018,5,0,2,3,1054,5,0,2,3,1101,5,0,2,3,1131,5,0,2,3,1179,5,0,2,3,1225,5,0,2,3,1256,5,0,2,3,1289,5,0,2,3,1319,5,0,2,3,1354
Bouvet Island,0,0,0,0,2,0,0,0,0,3,0,0,0,0,4,0,0,0,0,6,0,0,0,0,9,0,0,0,0,9,0,0,0,0,9,0,0,0,0,10,0,0,0,0,10,0,0,0,0,12,0,0,0,0,16,0,0,0,0,20,0,0,0,0,23,0,0,0,0,24,0,0,0,0,25,0,0,0,0,26,0,0,0,0,31,0,0,0,0,34,0,0,0,0,34,0,0,0,0,37,0,0,0,0,39,0,0,0,0,39,0,0,0,0,41,0,0,0,0,43,0,0,0,0,45,0,0,0,0,47,0,0,0,0,47,0,0,0,0,48,0,0,0,0,48,0,0,0,0,49,0,0,0,0,49,0,0,0,0,51,0,0,0,0,53,0,0,0,0,55,0,0,0,0,55
Botswana,0,0,0,0,311,0,0,0,0,764,0,0,0,0,1295,0,0,0,0,1765,0,0,0,0,2122,0,0,0,0,2498,0,0,0,0,2738,0,0,0,0,3086,0,0,0,0,3482,0,0,0,0,4006,0,0,0,0,4460,0,0,0,0,4838,0,0,0,0,5215,0,0,0,0,5639,0,0,0,0,6121,0,0,0,0,6785,0,0,0,0,7254,0,0,0,0,7747,0,0,0,0,8350,0,0,0,0,8865,0,0,0,0,9360,0,0,0,0,9790,3,0,0,3,10521,4,1,0,3,11056,4,1,0,3,11550,4,1,0,3,12036,4,1,0,3,12456,4,1,0,3,13099,6,1,0,5,13774,6,1,0,5,14518,6,1,0,5,15099,6,1,0,5,15794,13,1,0,12,17074,13,1,0,12,17694,13,1,0,12,18359
Central African Republic,0,0,0,0,2,0,0,0,0,17,0,0,0,0,24,0,0,0,0,32,0,0,0,0,43,0,0,0,0,51,0,0,0,0,66,1,0,0,1,79,1,0,0,1,87,1,0,0,1,101,1,0,0,1,126,1,0,0,1,139,3,0,0,3,154,3,0,0,3,168,3,0,0,3,172,3,0,0,3,194,3,0,0,3,216,3,0,0,3,242,3,0,0,3,268,3,0,0,3,285,3,0,0,3,313,3,0,0,3,331,3,0,0,3,347,3,0,0,3,373,3,0,0,3,399,3,0,0,3,422,8,0,0,8,451,8,0,0,8,477,8,0,0,8,499,8,0,0,8,522,8,0,0,8,562,8,0,0,8,615,8,0,0,8,667,8,0,0,8,704,8,0,0,8,727
Canada,64,0,8,56,29337,76,1,8,67,56456,79,1,8,70,79910,108,1,8,99,103269,117,1,8,108,127388,193,1,8,184,149569,196,1,8,187,171361,250,1,8,241,195699,415,4,9,402,221749,478,5,9,464,246940,657,8,9,640,271931,800,9,9,782,296710,943,12,9,922,322198,1278,19,10,1249,346553,1465,21,10,1434,372455,2088,25,0,2063,399704,2790,26,110,2654,427236,3251,30,183,3038,455809,4042,38,184,3820,485593,4682,54,256,4372,513828,5576,61,466,5049,540905,6280,64,466,5750,569282,7398,80,466,6852,599108,8527,101,1592,6834,628828,9560,109,1324,8127,658209,11284,139,1735,9410,687833,12437,179,2175,10083,719339,12978,218,2577,10183,748754,15756,259,3012,12485,778575,16563,339,3256,12968,809437,17872,375,3791,13706,841358,19141,407,4154,14580,872381,20654,503,5162,14989,902335,22059,557,5855,15647,931882,23316,654,6589,16073,960531
Cocos (Keeling) Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,6,0,0,0,0,6,0,0,0,0,7,0,0,0,0,8,0,0,0,0,9,0,0,0,0,9,0,0,0,0,9,0,0,0,0,10,0,0,0,0,11,0,0,0,0,11,0,0,0,0,11,0,0,0,0,11,0,0,0,0,18,0,0,0,0,22,0,0,0,0,22,0,0,0,0,25,0,0,0,0,27,0,0,0,0,37,0,0,0,0,47,0,0,0,0,55,0,0,0,0,57,0,0,0,0,61,0,0,0,0,62,0,0,0,0,62,0,0,0,0,65
Switzerland,337,2,3,332,5851,374,2,3,369,11238,491,3,3,485,16568,652,4,4,644,21954,652,4,4,644,26254,1139,11,4,1124,30349,1359,13,4,1342,34736,2200,14,4,2182,40095,2200,14,4,2182,45397,2700,27,4,2669,50346,3028,28,15,2985,54953,4075,41,15,4019,59812,5294,54,15,5225,64730,6575,75,15,6485,69129,7245,98,131,7016,73531,8795,120,131,8544,77755,9877,122,131,9624,82076,10897,153,131,10613,86587,11811,191,131,11489,91060,12928,231,1530,11167,95619,14076,264,1530,12282,99962,14829,300,1595,12934,104488,15922,359,1823,13740,109009,16605,433,1823,14349,113702,17768,488,2967,14313,118118,18827,536,4013,14278,122781,19606,591,4846,14169,127918,20505,666,6415,13424,132484,21100,715,6415,13970,136940,21657,765,8056,12836,142044,22253,821,8704,12728,147221,23280,895,9800,12585,152511,24051,948,10600,12503,157678,24551,1002,11100,12449,162111,25107,1036,12100,11971,166358
Chile,8,0,0,8,8082,8,0,0,8,15929,13,0,0,13,23431,23,0,0,23,32810,23,0,0,23,45257,43,0,0,43,56737,61,0,0,61,75847,74,0,0,74,108655,155,0,0,155,142519,201,0,0,201,172437,238,0,0,238,203631,238,0,0,238,228290,434,0,6,428,257407,537,0,6,531,290782,632,1,8,623,321286,746,2,11,733,347036,922,2,17,903,372329,1142,3,22,1117,396128,1306,4,22,1280,414909,1610,5,43,1562,435195,1909,6,61,1842,459846,2139,7,75,2057,483940,2449,8,156,2285,503640,2738,12,156,2570,522286,3031,16,234,2781,540543,3404,18,335,3051,558715,3737,22,427,3288,577758,4161,27,528,3606,596694,4471,34,618,3819,615866,4815,37,728,4050,633518,5116,43,898,4175,652536,5546,48,1115,4383,668713,5972,57,1274,4641,686863,6501,65,1571,4865,707117,6927,73,1864,4990,730479
China,80699,3097,57320,20282,2844,80735,3120,58735,18880,5574,80887,3139,60181,17567,8222,80921,3161,61644,16116,10868,80932,3172,62901,14859,12735,80945,3180,64196,13569,14517,80977,3193,65660,12124,16164,81003,3203,67017,10783,18080,81033,3217,67910,9906,19834,81058,3230,68798,9030,21964,81102,3241,69755,8106,23879,81156,3249,70535,7372,25850,81250,3253,71266,6731,27876,81305,3259,71857,6189,30128,81397,3265,72362,5770,32341,81496,3274,72819,5403,34761,81591,3281,73280,5030,37020,81661,3285,73773,4603,39216,81782,3291,74181,4310,41441,81897,3296,74720,3881,43892,81999,3299,75100,3600,45908,82122,3304,75582,3236,48083,82198,3308,75923,2967,50270,82279,3309,76206,2764,52306,82361,3316,76405,2640,54501,82432,3322,76565,2545,56754,82511,3326,76760,2425,59039,82543,3330,76946,2267,61777,82602,3333,77207,2062,64226,82665,3335,77310,2020,66442,82718,3335,77410,1973,68795,82809,3337,77567,1905,71221,82883,3339,77679,1865,73649,82941,3340,77791,1810,76047,83014,3343,77877,1794,78497
Côte d'Ivoire,0,0,0,0,298,0,0,0,0,596,0,0,0,0,1098,1,0,0,1,1808,1,0,0,1,2538,1,0,0,1,3113,1,0,0,1,3642,1,0,0,1,4254,1,0,0,1,5125,5,0,1,4,5987,6,0,1,5,6713,9,0,1,8,7483,9,0,1,8,8193,14,0,1,13,8801,14,0,1,13,9507,25,0,2,23,10162,73,0,2,71,11098,80,0,3,77,11899,96,0,3,93,12524,101,0,3,98,13260,101,0,3,98,13991,165,1,4,160,14812,168,1,6,161,15559,179,1,7,171,16371,190,1,9,180,17033,194,1,15,178,17778,218,1,19,198,18726,245,1,25,219,19615,261,3,37,221,20320,323,3,41,279,21200,349,3,41,305,21911,384,3,48,333,22586,444,3,52,389,23344,444,3,52,389,24081,533,4,58,471,24636
Cameroon,2,0,0,2,484,2,0,0,2,887,2,0,0,2,1407,2,0,0,2,1860,2,0,0,2,2427,2,0,0,2,2915,2,0,0,2,3518,2,0,0,2,4122,4,0,0,4,4941,10,0,0,10,6343,10,0,0,10,7617,13,0,0,13,8670,20,0,0,20,9859,27,0,0,27,10790,40,0,0,40,11785,56,0,2,54,12955,66,0,2,64,14547,75,1,2,72,15743,75,1,2,72,16703,91,2,2,87,17755,91,2,2,87,18830,139,6,5,128,19871,139,6,5,128,20797,193,6,5,182,21933,233,6,10,217,23172,306,7,10,289,24390,509,8,17,484,25860,555,9,17,529,26979,650,9,17,624,28182,658,9,17,632,29262,658,9,43,606,30473,730,10,60,660,31495,730,10,60,660,32572,820,12,98,710,33925,820,12,98,710,34911
"Congo, The Democratic Republic of the",0,0,0,0,12,0,0,0,0,19,0,0,0,0,46,0,0,0,0,68,0,0,0,0,86,0,0,0,0,98,0,0,0,0,112,0,0,0,0,137,0,0,0,0,163,0,0,0,0,185,0,0,0,0,225,0,0,0,0,268,0,0,0,0,310,0,0,0,0,351,0,0,0,0,404,0,0,0,0,456,0,0,0,0,517,0,0,0,0,570,0,0,0,0,609,0,0,0,0,654,0,0,0,0,709,0,0,0,0,773,0,0,0,0,809,0,0,0,0,855,0,0,0,0,902,0,0,0,0,931,0,0,0,0,998,0,0,0,0,1067,0,0,0,0,1116,0,0,0,0,1160,0,0,0,0,1214,0,0,0,0,1265,0,0,0,0,1285,0,0,0,0,1311,0,0,0,0,1329
Congo,0,0,0,0,239,0,0,0,0,470,0,0,0,0,891,1,0,0,1,1340,1,0,0,1,1703,2,0,0,2,2007,2,0,0,2,2279,3,0,0,3,2699,4,0,0,4,3080,4,0,0,4,3621,5,0,0,5,4213,17,0,0,17,4810,21,0,0,21,5354,26,1,0,25,6079,33,1,0,32,6780,40,1,0,39,7414,49,2,0,47,8210,52,2,0,50,8820,55,3,0,52,9327,55,3,2,50,9978,69,6,2,61,10635,84,6,2,76,11406,100,8,2,90,12048,117,8,2,107,12704,128,9,3,116,13375,156,15,5,136,14071,156,15,5,136,14916,176,20,5,151,15741,199,23,5,171,16382,206,23,7,176,17003,225,23,11,191,17641,225,23,11,191,18303,240,23,14,203,18831,275,25,18,232,19377,283,25,21,237,19894
Cook Islands,0,0,0,0,12,0,0,0,0,26,0,0,0,0,31,0,0,0,0,37,0,0,0,0,42,0,0,0,0,44,0,0,0,0,45,0,0,0,0,49,0,0,0,0,55,0,0,0,0,62,0,0,0,0,64,0,0,0,0,64,0,0,0,0,69,0,0,0,0,72,0,0,0,0,82,0,0,0,0,88,0,0,0,0,92,0,0,0,0,94,0,0,0,0,97,0,0,0,0,100,0,0,0,0,109,0,0,0,0,113,0,0,0,0,121,0,0,0,0,130,0,0,0,0,134,0,0,0,0,139,0,0,0,0,140,0,0,0,0,141,0,0,0,0,145,0,0,0,0,148,0,0,0,0,149,0,0,0,0,151,0,0,0,0,160,0,0,0,0,165,0,0,0,0,171
Colombia,1,0,0,1,16108,1,0,0,1,36526,3,0,0,3,55362,9,0,0,9,78130,9,0,0,9,100523,13,0,0,13,119582,22,0,0,22,145470,34,0,0,34,177571,54,0,0,54,217156,65,0,1,64,253553,93,0,1,92,291643,102,0,1,101,325491,128,0,1,127,358456,196,0,1,195,395614,231,2,3,226,427080,277,3,3,271,454489,378,3,6,369,479772,470,4,8,458,505492,491,6,8,477,531765,539,6,10,523,557336,608,6,10,592,583878,702,10,10,682,610932,798,12,15,771,637503,906,16,31,859,660941,1065,17,39,1009,686312,1161,19,55,1087,711361,1267,25,55,1187,734989,1406,32,85,1289,762409,1485,35,88,1362,790136,1579,46,88,1445,818086,1780,50,100,1630,840149,2054,54,123,1877,867288,2223,69,174,1980,892320,2473,80,197,2196,914702,2709,100,214,2395,941266
Comoros,0,0,0,0,16,0,0,0,0,45,0,0,0,0,75,0,0,0,0,90,0,0,0,0,109,0,0,0,0,121,0,0,0,0,144,0,0,0,0,175,0,0,0,0,204,0,0,0,0,234,0,0,0,0,259,0,0,0,0,287,0,0,0,0,318,0,0,0,0,344,0,0,0,0,367,0,0,0,0,383,0,0,0,0,414,0,0,0,0,437,0,0,0,0,472,0,0,0,0,521,0,0,0,0,545,0,0,0,0,571,0,0,0,0,593,0,0,0,0,621,0,0,0,0,650,0,0,0,0,677,0,0,0,0,704,0,0,0,0,741,0,0,0,0,775,0,0,0,0,805,0,0,0,0,843,0,0,0,0,872,0,0,0,0,897,0,0,0,0,926,0,0,0,0,959
